day,interval,detid,flow,occ,error,city,speed
2008-06-20,45000,38,260.0,0.0277777777777778,,toulouse,
2008-06-13,81720,38,180.0,0.0222222222222222,,toulouse,
2008-06-20,63540,38,200.0,0.05,,toulouse,
2008-05-23,5580,38,140.0,0.0111111111111111,,toulouse,
2008-05-30,24120,38,60.0,0.0111111111111111,,toulouse,
2008-06-06,40500,38,240.0,0.0277777777777778,,toulouse,
2008-06-20,79560,38,220.0,0.0222222222222222,,toulouse,
2008-06-13,84420,38,180.0,0.0166666666666667,,toulouse,
2008-06-20,25560,38,160.0,0.227777777777778,,toulouse,
2008-06-13,22680,38,40.0,0.0111111111111111,,toulouse,
2008-06-20,65520,38,280.0,0.0333333333333333,,toulouse,
2008-06-06,34920,38,240.0,0.0277777777777778,,toulouse,
2008-05-16,58320,38,280.0,0.0388888888888889,,toulouse,
2008-06-13,36000,38,300.0,0.05,,toulouse,
2008-05-23,23220,38,100.0,0.0055555555555555,,toulouse,
2008-05-16,25920,38,80.0,0.0055555555555555,,toulouse,
2008-06-13,26280,38,100.0,0.0055555555555555,,toulouse,
2008-06-06,10620,38,60.0,0.0055555555555555,,toulouse,
2008-05-30,56520,38,200.0,0.0222222222222222,,toulouse,
2008-06-13,6300,38,100.0,0.0111111111111111,,toulouse,
2008-06-06,51840,38,300.0,0.0277777777777778,,toulouse,
2008-06-20,1080,38,60.0,0.0055555555555555,,toulouse,
2008-06-20,62640,38,220.0,0.0277777777777778,,toulouse,
2008-06-20,70560,38,0.0,0.0,,toulouse,
2008-06-27,62460,38,420.0,0.0833333333333333,,toulouse,
2008-06-27,82620,38,280.0,0.0333333333333333,,toulouse,
2008-06-06,69840,38,600.0,0.0277777777777778,,toulouse,
2008-05-23,11700,38,80.0,0.0055555555555555,,toulouse,
2008-06-20,720,38,160.0,0.0111111111111111,,toulouse,
2008-06-06,54360,38,220.0,0.0222222222222222,,toulouse,
2008-05-30,1440,38,160.0,0.0166666666666667,,toulouse,
2008-06-06,68760,38,380.0,0.0777777777777778,,toulouse,
2008-05-16,39600,38,320.0,0.05,,toulouse,
2008-06-27,81720,38,240.0,0.0222222222222222,,toulouse,
2008-05-30,29340,38,440.0,0.05,,toulouse,
2008-06-27,10080,38,0.0,0.0,,toulouse,
2008-06-06,75600,38,263.0,0.0222222222222222,,toulouse,
2008-06-20,75780,38,320.0,0.0333333333333333,,toulouse,
2008-05-16,85680,38,160.0,0.0222222222222222,,toulouse,
2008-05-30,31500,38,340.0,0.0388888888888889,,toulouse,
2008-06-20,17640,38,0.0,0.0,,toulouse,
2008-05-23,41400,38,240.0,0.0277777777777778,,toulouse,
2008-06-20,68040,38,300.0,0.05,,toulouse,
2008-05-16,80280,38,240.0,0.0277777777777778,,toulouse,
2008-05-30,40860,38,400.0,0.0833333333333333,,toulouse,
2008-06-20,49860,38,180.0,0.0333333333333333,,toulouse,
2008-05-23,42120,38,220.0,0.0277777777777778,,toulouse,
2008-06-20,36540,38,380.0,0.0388888888888889,,toulouse,
2008-05-16,45540,38,300.0,0.0388888888888889,,toulouse,
2008-05-30,79560,38,0.0,0.0,,toulouse,
2008-05-16,69840,38,600.0,0.122222222222222,,toulouse,
2008-06-27,6840,38,100.0,0.0055555555555555,,toulouse,
2008-06-27,6300,38,120.0,0.0111111111111111,,toulouse,
