value,hour,site,season,var
0.44622803,1,UK-MCR,Winter,TG_U
0.4275818,2,UK-MCR,Winter,TG_U
0.378479,3,UK-MCR,Winter,TG_U
0.34603882,4,UK-MCR,Winter,TG_U
0.32122803,5,UK-MCR,Winter,TG_U
0.3088684,6,UK-MCR,Winter,TG_U
0.32287598,7,UK-MCR,Winter,TG_U
0.3604126,8,UK-MCR,Winter,TG_U
0.4096985,9,UK-MCR,Winter,TG_U
0.5142822,10,UK-MCR,Winter,TG_U
0.54052734,11,UK-MCR,Winter,TG_U
0.5465698,12,UK-MCR,Winter,TG_U
0.52212524,13,UK-MCR,Winter,TG_U
0.4953308,14,UK-MCR,Winter,TG_U
0.48519897,15,UK-MCR,Winter,TG_U
0.5061035,16,UK-MCR,Winter,TG_U
0.5218506,17,UK-MCR,Winter,TG_U
0.55130005,18,UK-MCR,Winter,TG_U
0.5591736,19,UK-MCR,Winter,TG_U
0.552124,20,UK-MCR,Winter,TG_U
0.5260925,21,UK-MCR,Winter,TG_U
0.52542114,22,UK-MCR,Winter,TG_U
0.5190735,23,UK-MCR,Winter,TG_U
0.4465332,0,UK-MCR,Winter,TSA_U
0.40924072,1,UK-MCR,Winter,TSA_U
0.3796997,2,UK-MCR,Winter,TSA_U
0.35559082,3,UK-MCR,Winter,TSA_U
0.3151245,4,UK-MCR,Winter,TSA_U
0.2810669,5,UK-MCR,Winter,TSA_U
0.26428223,6,UK-MCR,Winter,TSA_U
0.25946045,7,UK-MCR,Winter,TSA_U
0.2824402,8,UK-MCR,Winter,TSA_U
0.33203125,9,UK-MCR,Winter,TSA_U
0.37756348,10,UK-MCR,Winter,TSA_U
0.43151855,11,UK-MCR,Winter,TSA_U
0.42684937,12,UK-MCR,Winter,TSA_U
0.36602783,13,UK-MCR,Winter,TSA_U
0.30963135,14,UK-MCR,Winter,TSA_U
0.26745605,15,UK-MCR,Winter,TSA_U
0.2411499,16,UK-MCR,Winter,TSA_U
0.25250244,17,UK-MCR,Winter,TSA_U
0.2911682,18,UK-MCR,Winter,TSA_U
0.38427734,19,UK-MCR,Winter,TSA_U
0.41552734,20,UK-MCR,Winter,TSA_U
0.4501953,21,UK-MCR,Winter,TSA_U
0.45031738,22,UK-MCR,Winter,TSA_U
0.44119263,23,UK-MCR,Winter,TSA_U
0.0,0,UK-MCR,Winter,TBUILD
0.0,1,UK-MCR,Winter,TBUILD
0.0,2,UK-MCR,Winter,TBUILD
0.0,3,UK-MCR,Winter,TBUILD
0.0,4,UK-MCR,Winter,TBUILD
0.0,5,UK-MCR,Winter,TBUILD
0.0,6,UK-MCR,Winter,TBUILD
0.0,7,UK-MCR,Winter,TBUILD
0.0,8,UK-MCR,Winter,TBUILD
0.0,9,UK-MCR,Winter,TBUILD
0.0,10,UK-MCR,Winter,TBUILD
0.0,11,UK-MCR,Winter,TBUILD
0.0,12,UK-MCR,Winter,TBUILD
0.0,13,UK-MCR,Winter,TBUILD
0.0,14,UK-MCR,Winter,TBUILD
0.0,15,UK-MCR,Winter,TBUILD
0.0,16,UK-MCR,Winter,TBUILD
0.0,17,UK-MCR,Winter,TBUILD
0.0,18,UK-MCR,Winter,TBUILD
0.0,19,UK-MCR,Winter,TBUILD
0.0,20,UK-MCR,Winter,TBUILD
0.0,21,UK-MCR,Winter,TBUILD
0.0,22,UK-MCR,Winter,TBUILD
0.0,23,UK-MCR,Winter,TBUILD
