hour,value,site,season,case,var
7,0.1057595,FR-Cap,Summer,traffic,TRAFFICFLUX
8,0.47355148,FR-Cap,Summer,traffic,TRAFFICFLUX
9,0.7889795,FR-Cap,Summer,traffic,TRAFFICFLUX
10,1.0,FR-Cap,Summer,traffic,TRAFFICFLUX
11,0.7889816,FR-Cap,Summer,traffic,TRAFFICFLUX
12,0.7889964,FR-Cap,Summer,traffic,TRAFFICFLUX
13,0.78896016,FR-Cap,Summer,traffic,TRAFFICFLUX
14,0.63122165,FR-Cap,Summer,traffic,TRAFFICFLUX
15,0.7104893,FR-Cap,Summer,traffic,TRAFFICFLUX
16,0.7899783,FR-Cap,Summer,traffic,TRAFFICFLUX
17,0.6318996,FR-Cap,Summer,traffic,TRAFFICFLUX
18,0.78896683,FR-Cap,Summer,traffic,TRAFFICFLUX
19,0.68435264,FR-Cap,Summer,traffic,TRAFFICFLUX
20,0.63149315,FR-Cap,Summer,traffic,TRAFFICFLUX
21,0.6312206,FR-Cap,Summer,traffic,TRAFFICFLUX
22,0.6354965,FR-Cap,Summer,traffic,TRAFFICFLUX
23,0.4738903,FR-Cap,Summer,traffic,TRAFFICFLUX
0,0.12789595,FR-Cap,Summer,traffic,TG_U
1,0.09860657,FR-Cap,Summer,traffic,TG_U
2,0.07225758,FR-Cap,Summer,traffic,TG_U
3,0.054044057,FR-Cap,Summer,traffic,TG_U
4,0.027781827,FR-Cap,Summer,traffic,TG_U
5,0.0033693933,FR-Cap,Summer,traffic,TG_U
6,0.0,FR-Cap,Summer,traffic,TG_U
7,0.057047106,FR-Cap,Summer,traffic,TG_U
8,0.17451794,FR-Cap,Summer,traffic,TG_U
9,0.29542565,FR-Cap,Summer,traffic,TG_U
10,0.5200868,FR-Cap,Summer,traffic,TG_U
11,0.7313897,FR-Cap,Summer,traffic,TG_U
12,0.8479146,FR-Cap,Summer,traffic,TG_U
13,0.9565124,FR-Cap,Summer,traffic,TG_U
14,1.0,FR-Cap,Summer,traffic,TG_U
15,0.9906378,FR-Cap,Summer,traffic,TG_U
16,0.9147155,FR-Cap,Summer,traffic,TG_U
17,0.7773827,FR-Cap,Summer,traffic,TG_U
18,0.6786821,FR-Cap,Summer,traffic,TG_U
19,0.53042877,FR-Cap,Summer,traffic,TG_U
20,0.37979785,FR-Cap,Summer,traffic,TG_U
21,0.30093285,FR-Cap,Summer,traffic,TG_U
22,0.21611235,FR-Cap,Summer,traffic,TG_U
23,0.1561128,FR-Cap,Summer,traffic,TG_U
0,0.2927452,FR-Cap,Summer,traffic,TSA_U
1,0.22580169,FR-Cap,Summer,traffic,TSA_U
2,0.17120047,FR-Cap,Summer,traffic,TSA_U
3,0.12787527,FR-Cap,Summer,traffic,TSA_U
4,0.072100624,FR-Cap,Summer,traffic,TSA_U
5,0.02208589,FR-Cap,Summer,traffic,TSA_U
6,0.0,FR-Cap,Summer,traffic,TSA_U
7,0.016189354,FR-Cap,Summer,traffic,TSA_U
8,0.10183513,FR-Cap,Summer,traffic,TSA_U
9,0.20949447,FR-Cap,Summer,traffic,TSA_U
10,0.42148846,FR-Cap,Summer,traffic,TSA_U
11,0.62195194,FR-Cap,Summer,traffic,TSA_U
12,0.7303105,FR-Cap,Summer,traffic,TSA_U
13,0.86123717,FR-Cap,Summer,traffic,TSA_U
14,0.9510971,FR-Cap,Summer,traffic,TSA_U
15,0.9826935,FR-Cap,Summer,traffic,TSA_U
16,1.0,FR-Cap,Summer,traffic,TSA_U
17,0.95906985,FR-Cap,Summer,traffic,TSA_U
18,0.9146516,FR-Cap,Summer,traffic,TSA_U
19,0.8182201,FR-Cap,Summer,traffic,TSA_U
20,0.68903476,FR-Cap,Summer,traffic,TSA_U
21,0.59134406,FR-Cap,Summer,traffic,TSA_U
22,0.45919576,FR-Cap,Summer,traffic,TSA_U
23,0.34881988,FR-Cap,Summer,traffic,TSA_U
0,0.6505049,FR-Cap,Summer,traffic,TBUILD
1,0.55097973,FR-Cap,Summer,traffic,TBUILD
2,0.46307907,FR-Cap,Summer,traffic,TBUILD
3,0.397487,FR-Cap,Summer,traffic,TBUILD
4,0.28973868,FR-Cap,Summer,traffic,TBUILD
5,0.1819637,FR-Cap,Summer,traffic,TBUILD
6,0.118459135,FR-Cap,Summer,traffic,TBUILD
7,0.047625083,FR-Cap,Summer,traffic,TBUILD
8,0.003421323,FR-Cap,Summer,traffic,TBUILD
9,0.0,FR-Cap,Summer,traffic,TBUILD
10,0.04651132,FR-Cap,Summer,traffic,TBUILD
11,0.14568967,FR-Cap,Summer,traffic,TBUILD
12,0.23180963,FR-Cap,Summer,traffic,TBUILD
13,0.3753318,FR-Cap,Summer,traffic,TBUILD
14,0.5238426,FR-Cap,Summer,traffic,TBUILD
15,0.6296968,FR-Cap,Summer,traffic,TBUILD
16,0.78922516,FR-Cap,Summer,traffic,TBUILD
17,0.9159075,FR-Cap,Summer,traffic,TBUILD
18,0.96984833,FR-Cap,Summer,traffic,TBUILD
19,1.0,FR-Cap,Summer,traffic,TBUILD
20,0.9886023,FR-Cap,Summer,traffic,TBUILD
21,0.94690615,FR-Cap,Summer,traffic,TBUILD
